,P,Q,A
5148,4.527905706465316,0,0
6233,0.5606747642181511,2,0
8936,4.957104646664106,3,0
8353,0.6031743689934939,0,0
2255,9.687229823472293,2,1
4503,1.5008887020109265,1,0
4088,-1.1289423834476024,0,0
3772,6.967432287631921,1,0
987,4.667088630332791,0,1
2593,8.316299264856807,2,1
7779,4.992200097608557,1,0
2564,13.873478332893999,1,0
6886,6.721842776935273,3,0
399,-4.570685794393109,2,1
4250,4.056783123821138,1,0
3423,4.1891408548012565,2,0
8759,6.128370550542245,1,0
8793,5.477720700017249,2,0
6242,3.872381256606933,1,0
3391,0.8146890097565558,2,0
5928,6.924677041888399,3,0
3450,11.520620198510032,1,0
7961,-1.8271305615957834,2,0
2665,5.358007165686963,3,0
5228,7.1155252794252,1,0
6753,11.84156098536894,1,0
3758,29.11964165588401,2,0
6383,-0.005208648882947142,1,0
2000,9.698647279611809,0,0
2062,7.754646361458406,2,0
8790,5.664542613917279,2,0
602,14.237004720540899,1,0
3032,4.285260476000942,1,0
2073,6.394631927160035,2,1
1240,12.982944065507928,1,0
3808,5.635273315011986,2,0
2283,7.527138071474104,1,0
410,6.781173184247176,2,1
5042,3.672979573344695,1,0
1824,4.638905493948673,2,1
3206,5.365410278581424,3,0
5736,11.67845061797296,2,0
5139,3.6202042684819578,1,0
7748,2.453626798134629,1,0
6818,0.38651489346468715,2,0
5211,6.825930716740457,0,0
2977,15.649040553652895,3,1
8742,6.431265085221423,2,0
745,5.589103276305869,1,0
1910,3.9598122961059197,3,1
5071,4.23408761770149,0,0
3451,2.7531546418808204,3,0
5381,-1.307829264242161,2,0
3906,4.4164065581935485,2,0
1955,2.5144063917438984,3,0
6381,4.904800575374325,1,0
4612,6.448170639949193,1,0
8820,1.0805491595795822,2,0
6318,2.1904771828818093,2,0
3823,10.208720896721765,2,0
2091,5.897948376760945,1,0
4276,2.9428144041306585,1,0
6668,4.725561791879549,2,0
5222,9.439906231222304,3,0
3049,5.44088540422162,2,0
8029,10.158314405504902,1,0
1814,9.8141450207212,2,1
7321,5.726560429623337,1,0
6286,12.852879141181381,3,0
2849,4.185008543556778,2,0
3205,3.3730937666309635,2,0
3964,1.345470117907198,1,0
4481,9.354048656474486,0,0
8719,4.860804477066342,1,0
8660,9.154812297099008,2,0
8199,5.40795755892348,1,0
7761,2.08741243899149,2,0
4609,4.706773750136911,2,0
1303,6.759346279542454,3,0
2505,0.476073284788268,3,1
265,4.096987298378974,1,1
6874,4.677141396138488,0,0
7626,0.8865750476140601,0,0
2557,1.2008775369027271,1,0
8640,0.2826912620564457,1,0
310,3.7437457773586083,3,1
8512,7.483253490155672,2,0
6734,2.9249485417825682,3,0
5676,3.686598077599915,3,0
8359,9.110981365049124,1,0
6247,4.732609579728633,1,0
6988,5.550874267284592,2,0
5405,1.9082560288691068,1,0
7123,2.317481067109268,3,0
2575,-0.2782359319556522,0,0
3158,19.38362237807218,2,0
5216,0.6470529475173752,1,0
931,3.866500912439758,1,1
8283,8.646880896066788,2,0
901,9.01071469045634,1,0
4214,5.730850160558556,2,0
6208,8.685755410266783,0,0
1699,5.9926431381468594,3,0
6690,4.7189820656391905,3,0
5497,9.646275208657107,1,0
4757,6.892507841365653,0,0
5720,11.36652929029767,1,0
6053,15.411458855907078,1,0
8920,1.7872822094039404,2,0
405,5.224701995457187,1,1
7149,11.776283433328924,0,0
2640,3.369006920142777,2,1
5433,9.487002815902947,3,0
3214,14.226119165450683,3,0
350,-2.099774407838468,2,0
2796,1.7072988308508636,3,1
434,2.40293801619909,3,0
7174,7.141513399483925,1,0
2231,5.715437232996585,0,0
822,6.452953380530642,1,1
3624,9.058164726816884,0,0
6860,5.657188202016612,1,0
104,-0.13530588502329532,1,0
5795,0.8635145410042526,1,0
5204,7.331788185382707,2,0
7859,5.333107666464932,2,0
8464,9.967387179168835,0,0
460,7.353682768095274,2,1
436,8.280877030265762,2,0
5652,5.036194716963628,2,0
58,4.292333950670187,1,1
4083,8.788197723966915,0,0
5733,6.808237100448488,3,0
1882,1.5894354019838128,3,1
546,4.703426062968118,2,0
1113,2.594889592766828,3,1
321,1.0914312649506472,2,1
8099,2.4301290735544767,1,0
1542,3.363223026678977,3,0
8149,9.221825687986861,3,0
8589,-1.329321061626372,2,0
4043,2.8450922478170075,1,0
7305,6.028550101624755,0,0
2699,6.329163743533064,1,0
7578,-2.72535756654285,1,0
