,Y
2282,0
1369,1
2174,0
1224,0
550,1
6397,1
3096,1
5516,0
2529,0
6678,1
7821,0
6630,1
355,0
8130,1
1874,0
2403,1
673,0
6300,0
2737,1
7726,1
3297,1
2408,1
2284,1
2700,1
380,0
1653,0
1127,1
7142,0
6230,0
1429,0
3672,0
3373,1
1883,0
5954,1
7409,0
4509,0
5085,0
7227,0
1784,0
89,0
2854,0
3752,0
5629,0
7636,0
1502,0
7137,1
4611,0
111,0
5917,0
3026,1
5738,0
2504,1
6214,1
7780,1
6357,0
3370,1
6023,0
3504,0
7074,0
2362,0
3357,1
1286,0
8186,0
877,1
2409,1
6166,0
956,0
6009,1
5124,0
7301,0
2153,0
5422,0
2741,0
521,1
1887,0
7761,0
1244,0
5836,1
8199,0
3835,0
7648,1
7714,1
5488,1
3825,0
1501,1
3139,0
738,0
375,0
5089,0
1409,0
5717,0
1677,0
6326,0
7515,1
901,1
2348,0
902,0
6737,0
1207,0
6755,0
4823,0
6971,1
8153,0
8175,0
1858,0
1842,0
6232,0
1442,0
1248,0
1056,0
5595,0
2400,0
7196,0
7432,0
1975,0
5936,0
2813,0
5395,1
7738,0
1242,0
2710,1
799,0
5260,0
1,0
2621,0
4382,1
2307,0
5435,1
7886,0
2456,0
6540,1
4400,0
5821,1
4441,0
7674,0
975,0
690,1
3656,1
7348,1
6969,0
4607,0
5493,1
2662,1
519,0
2206,0
6164,1
4450,0
6796,0
1311,0
3937,0
2248,1
860,1
8205,0
8151,0
6167,1
7462,0
5871,0
1851,1
728,1
7164,0
6664,1
5798,0
2861,1
7468,0
2247,0
6872,1
3268,0
5017,0
637,0
6817,0
3748,0
1136,0
3157,1
2555,0
3513,0
1084,0
3201,1
2209,0
2099,1
5914,0
4375,0
6993,0
2558,1
3794,0
5279,1
2933,0
6552,0
4532,0
3793,0
1321,0
2995,0
767,0
7024,1
5164,1
1593,0
8164,0
465,1
4520,1
7236,0
7812,1
4025,0
7211,0
6416,1
2867,0
5147,0
4991,0
2059,0
6814,1
5597,0
2412,0
2088,0
8032,0
3032,0
6269,1
6811,0
7510,0
5673,0
3446,1
5257,0
1909,1
6831,0
6798,1
3456,1
2332,0
5864,0
6243,1
7987,0
7259,1
5646,0
7752,1
6895,1
3078,0
742,0
57,0
7765,0
2639,1
5255,0
2176,0
2833,1
6569,0
6363,1
5317,0
3326,0
1458,0
3127,1
7862,1
4443,0
4273,0
2218,0
7581,1
3073,1
1799,1
7365,1
5992,0
95,0
822,0
3324,0
6653,1
1747,1
345,0
5126,0
2898,1
1222,0
7924,0
8070,0
7520,1
2301,0
7433,0
2695,1
7618,0
8001,1
439,1
5783,0
6843,1
7476,1
2888,1
1328,0
4058,0
6467,1
2094,0
986,0
2685,0
166,1
6021,0
433,1
7353,0
1513,0
7545,1
676,0
5303,1
3710,0
7347,1
1498,0
1539,0
3170,0
6305,1
5444,1
7482,0
4159,0
5476,1
3499,0
7072,0
6748,1
4006,1
3188,1
2308,0
1657,1
5701,1
3054,1
3634,0
249,0
1259,1
5286,0
3238,0
391,0
5687,0
1865,0
110,0
655,0
7575,1
5568,0
7128,1
1632,1
4019,0
5920,0
4727,1
5733,0
2869,0
2567,1
4362,1
3327,0
7533,1
7572,0
3107,1
1760,0
5380,1
2496,1
660,0
5878,0
3609,1
3954,0
1551,0
2370,0
4696,1
3889,0
653,0
5389,1
7129,1
963,1
5690,0
745,1
204,0
3590,0
5761,1
2380,0
3645,0
3047,0
2835,0
7722,0
7511,0
6512,0
1637,0
4370,1
2583,1
5046,1
5526,1
502,0
1375,1
1646,1
5702,0
3152,1
6113,0
1303,0
1398,0
5203,0
3526,0
3535,0
7778,0
749,0
3528,0
5208,1
7685,1
4639,0
5521,1
5795,0
727,1
6379,0
2314,0
7957,0
1627,1
7242,1
3997,0
6465,1
4197,1
3337,0
2862,1
4657,0
2173,1
5086,0
1062,0
5893,1
7609,1
5188,0
6452,0
2180,0
2640,0
444,0
4987,1
307,0
7279,1
4408,0
6233,0
2172,0
5868,1
2411,1
6347,0
6281,1
4550,0
6121,0
762,0
1158,0
66,0
16,0
4668,0
5365,1
