,Y
7851,1
448,1
4130,0
2273,1
7557,1
2867,0
8474,1
798,0
1189,0
6372,1
4236,1
6546,1
648,1
2034,1
4043,0
7175,1
9517,0
714,0
6479,0
2724,0
5345,1
1530,0
8153,1
6981,1
9543,1
3370,0
9691,0
3898,0
142,1
9307,1
6024,1
62,0
6712,0
5768,1
9343,1
3249,0
806,0
9330,1
7371,0
6280,1
259,1
3832,0
8308,1
631,0
7879,0
2050,1
7336,1
5003,0
4968,1
591,0
5013,0
6137,1
3943,0
6198,0
8836,1
3485,1
3181,0
4426,1
7675,1
3679,0
6997,1
2849,0
5063,0
2505,0
4376,0
8720,1
9592,1
6494,0
871,1
3589,1
1910,0
2396,1
5733,0
7827,1
6119,1
8593,1
6978,1
4238,1
4557,0
1304,1
1543,0
6616,1
3374,0
684,0
4076,1
1386,0
5872,0
6885,1
3429,1
335,1
535,0
8697,1
3220,0
2588,0
6784,1
8511,0
3998,0
588,0
3546,0
3800,0
5179,0
1175,0
149,0
6495,1
4903,0
34,1
4975,0
9121,0
5477,0
3742,0
7751,1
690,1
15,1
2423,0
2866,1
9474,1
6125,0
2863,0
2510,0
494,0
9529,0
2345,0
8556,1
5920,0
1542,0
4295,0
1145,0
5773,0
1397,1
6229,0
8019,1
9472,0
9183,1
2838,1
9289,1
2959,0
5849,1
3368,0
9562,0
793,0
2912,0
1828,0
8987,1
1097,0
6989,0
9344,0
3569,0
3016,0
9365,1
9321,0
3993,0
7757,0
8787,1
6076,0
2706,0
8362,0
2564,1
8179,1
6313,1
433,1
4371,0
4489,1
1733,0
1444,0
1153,1
8632,0
5167,1
1121,0
4145,0
3632,0
7448,0
4272,0
8759,1
2447,0
7885,0
8494,0
2932,0
1462,0
5105,1
9532,0
9198,0
1115,0
131,0
1993,0
425,0
1366,0
7734,1
6297,0
614,0
8328,0
3041,0
4229,0
311,0
3276,1
7412,1
502,0
5858,0
8194,0
4667,1
1526,0
2366,0
1174,0
6057,0
5989,1
7878,1
6831,0
2755,1
4921,1
6756,0
2193,1
8467,1
6586,0
5820,1
4268,0
1813,1
1589,0
829,0
8409,1
4182,1
5830,0
1946,0
6081,1
9271,0
5055,0
1045,0
4353,0
2654,1
2020,0
6655,0
6817,0
4499,0
2771,0
8102,0
5519,0
344,0
1365,0
4767,1
5672,0
1343,0
1278,0
4293,0
1769,0
8642,1
9072,1
1592,1
6402,0
2087,0
8933,1
6576,0
1604,1
1385,0
9534,0
729,1
4501,0
1177,0
4622,0
1929,0
3187,1
9486,0
6072,0
6881,0
9020,1
2713,0
349,1
5114,1
6159,1
440,0
8744,1
7766,0
2843,0
1256,0
2793,0
5977,0
9462,0
9576,1
6324,0
1544,0
6251,0
2436,0
2608,0
4438,0
4697,1
1896,1
9549,1
3241,0
6670,1
5026,0
4558,0
9244,0
5805,0
350,0
2123,0
8725,0
3964,0
3494,1
9268,1
7968,1
9614,0
6371,1
3839,0
4691,0
2001,1
5839,1
7852,1
3292,1
2110,0
4594,0
3797,1
5692,0
2957,0
3728,1
7415,0
5681,1
3449,1
752,0
6188,0
5241,0
2208,1
7636,0
8854,1
6002,1
3724,1
9676,0
660,0
880,0
5792,1
8034,1
1130,1
6296,0
7270,0
6800,0
4300,0
5909,0
4682,1
197,0
6199,1
6096,1
2224,0
1796,1
2371,1
3415,0
7484,1
4413,0
6575,1
6457,1
3745,0
4402,0
