,P,Q,A
7851,5.967538826621647,2,0
448,11.693514712451444,2,0
4130,0.656446796170285,3,1
2273,13.189642307510493,1,0
7557,7.794366399784443,1,0
2867,2.9253100009019652,0,0
8474,8.93567688057771,3,0
798,5.682209679545442,2,0
1189,2.8117657648959806,1,1
6372,12.131839811779901,1,0
4236,10.86399491940725,0,0
6546,5.025456764840981,0,0
648,7.980901508787192,2,1
2034,6.387553358011072,3,1
4043,-0.08231841284118535,3,1
7175,9.113276464470552,0,0
9517,5.1680788578563845,1,0
714,3.3254045086061574,2,0
6479,5.496648816798542,1,0
2724,5.148245305089666,2,0
5345,0.18942532633642273,1,0
1530,2.909293396640667,2,0
8153,6.714202173597021,2,0
6981,10.205871427727093,0,0
9543,5.477720700017249,2,0
3370,-2.206041052568997,2,1
9691,-2.63881328849833,1,0
3898,0.9222998081557883,1,0
142,6.503715554537799,1,0
9307,6.217573265593969,0,0
6024,8.966241364805983,1,0
62,9.620885445732192,1,0
6712,2.098581879728874,2,0
5768,10.430700409872715,2,0
9343,2.9244753603251286,1,0
3249,8.123219559742651,1,1
806,1.1058399514402648,2,1
9330,8.57112811187087,1,0
7371,0.9509912600233141,1,0
6280,10.89126154041757,2,0
259,7.791440300489172,0,0
3832,3.057823010342899,2,0
8308,7.1916751235974825,1,0
631,4.219977959053466,0,0
7879,4.217841415305916,2,0
2050,8.605240327330696,2,0
7336,8.309164570212266,1,0
5003,5.366901563579194,2,0
4968,8.898292867999832,2,0
591,0.9701720643252494,1,0
5013,-1.1901469064966586,3,0
6137,18.39038379249176,1,0
3943,6.3724198495571045,3,1
6198,2.708869175347581,0,0
8836,6.290677449563498,1,0
3485,12.51571181303824,2,0
3181,3.2907214338863877,2,0
4426,12.917738109000107,2,1
7675,1.7905595618539825,2,0
3679,-0.4404973736498281,2,1
6997,4.732609579728633,1,0
2849,4.185008543556778,2,0
5063,3.814530651809375,2,0
2505,0.476073284788268,3,1
4376,2.1864056035620165,2,1
8720,10.505430829388347,3,0
9592,10.184985395144375,3,0
6494,1.0925808821251068,1,0
871,9.098530120117825,2,0
3589,9.264628017796664,1,0
1910,3.9598122961059197,3,1
2396,9.834026023043396,1,0
5733,5.557865536951333,1,0
7827,7.905390938124402,1,0
6119,2.712165428166145,1,0
8593,9.42615291646426,3,0
6978,16.124011097451753,1,0
4238,3.6469861480735553,3,0
4557,0.23346345038915772,0,0
1304,6.73978834830121,1,0
1543,-0.3030810960315877,1,0
6616,6.240106370093264,1,0
3374,4.18767727438093,1,1
684,-1.1396343143054206,2,1
4076,7.426889915142153,1,0
1386,1.2903581000059525,2,1
5872,1.9741149589444902,1,0
6885,4.867432012583193,2,0
3429,4.7992555126828345,3,0
335,8.229505540987576,2,1
535,6.948624740466867,2,1
8697,6.314308593205513,3,0
3220,1.603041218578694,1,0
2588,8.418638407180694,2,0
6784,7.78447484891557,2,0
8511,2.08741243899149,2,0
3998,0.10359035275816408,3,1
588,3.373546734855646,2,1
3546,4.921767878002549,2,1
3800,1.6070852843215144,3,1
5179,4.101013227320121,2,0
1175,4.676377561599784,2,0
149,0.6700301639814463,0,0
6495,11.25936009304572,0,0
4903,3.7835725610949607,2,0
34,4.155618584064587,1,0
4975,3.481580008600468,1,0
9121,6.135718229300922,3,0
5477,3.394391667270111,2,0
3742,-1.0142902224816006,3,1
7751,6.316401317340997,1,0
690,18.39675293460096,1,0
15,6.399115165848038,2,0
2423,-0.33571731453657794,3,0
2866,10.303584062579095,2,0
9474,7.828644207669423,2,0
6125,0.09791660342537478,2,0
2863,-0.29782866635057104,1,0
2510,1.5284654865865352,1,1
494,4.537114745469388,2,0
9529,3.375937936904484,2,0
2345,6.7926278529865005,1,1
8556,23.062039429605992,2,0
5920,3.886296539271605,1,0
1542,3.363223026678977,3,0
4295,0.3665806547314301,0,1
1145,-2.903601983323218,3,1
5773,2.7333120368327837,1,0
1397,6.745666316807319,2,0
6229,4.211489123216865,0,0
8019,6.907744219813578,1,0
9472,-1.4202577963095206,2,0
9183,7.821368816372956,3,0
2838,9.516351674216196,1,0
9289,4.609023416314671,2,0
2959,6.4300955350832725,3,1
5849,7.939550367307021,2,0
3368,4.620710304522571,1,0
9562,5.638513408121962,0,0
793,5.418273982766273,0,1
2912,2.012986654461056,1,0
1828,2.009237463767476,3,0
8987,9.131072922742833,2,0
1097,2.080672124997864,2,1
6989,1.563015251560631,0,0
9344,3.566485077514721,2,0
3569,2.592810248480963,1,0
3016,3.311433802623495,1,0
9365,14.606243275408382,1,0
