,Y
6754,1
79,0
4366,0
4910,0
686,0
6700,0
1834,0
2092,0
9820,0
13184,0
12700,1
1931,1
1663,0
12654,1
133,1
2427,0
1766,1
13490,1
8151,0
3930,0
8387,0
104,1
8231,0
3890,0
2789,0
2588,1
1630,1
11420,1
10488,1
9922,0
9391,0
4314,0
6805,0
1459,0
3320,1
6197,0
7898,1
7933,0
11751,1
1148,0
8826,1
9892,1
2974,1
12879,0
3534,0
4421,0
4143,1
7396,0
12738,1
199,0
10689,1
522,1
2155,1
317,1
10231,0
12585,0
4181,1
12664,1
3543,0
7847,1
1567,0
7387,1
8810,0
12628,1
8260,1
7636,1
5239,1
6674,1
11640,0
11343,1
10032,0
5128,1
1414,1
7552,0
5338,0
1881,1
3656,0
6897,0
12755,1
5742,1
8186,0
13095,0
9880,0
7564,0
2401,0
12579,1
1249,1
12550,1
5167,0
1295,1
12357,1
1231,0
4267,0
9770,0
3713,1
12746,1
4388,1
11624,0
4083,1
5979,0
1667,1
2563,0
10476,1
3163,1
822,0
12963,1
12070,0
12588,1
11728,1
1810,1
10773,1
11190,1
1410,1
13268,1
10933,0
1520,1
7904,0
11060,1
10247,0
7244,0
1250,0
7222,1
11386,0
11794,0
13020,0
10388,0
85,0
128,1
3608,0
8255,0
6369,0
8683,0
11290,1
13290,0
5747,1
8625,0
5168,0
6595,1
11402,1
713,0
6285,0
1832,0
7145,0
177,0
6917,0
4351,1
8904,0
5725,0
6704,1
13071,0
1012,0
4658,1
398,0
12609,1
7326,1
12614,1
826,0
6068,0
5019,1
11174,0
2698,1
1364,1
2245,0
2679,0
8669,1
7880,1
10839,0
1412,0
12463,0
1532,0
1018,1
11723,0
6484,0
9726,0
1183,1
9985,1
3307,1
11289,0
2806,1
5614,1
4403,1
2606,0
10107,1
270,0
6911,1
2127,1
4328,0
2306,0
5263,0
10681,0
12462,0
4264,0
2222,0
10731,1
12340,0
1088,0
6697,0
3088,1
5229,0
2465,0
2172,1
3694,0
7891,0
12720,1
743,0
11158,0
7754,1
8567,0
7298,0
8504,1
744,0
11654,1
6361,1
11380,1
7025,1
5953,1
5054,0
9783,0
1543,0
11530,1
13128,1
9701,0
3677,1
1974,1
11063,0
5484,1
3393,0
3502,0
12745,1
4849,1
2643,0
11099,1
2446,1
7516,1
905,1
11853,1
7989,0
7095,1
5251,1
9348,0
8197,0
11818,0
1059,1
6701,0
5199,1
11782,1
4525,0
11370,0
2923,0
2410,0
1559,0
386,0
9084,0
678,1
1590,0
5863,0
9001,1
1420,1
1036,0
7434,0
691,1
2435,0
2321,0
9509,0
6094,0
13375,0
881,0
3455,1
10673,1
6828,0
9498,1
4156,1
10222,0
7607,0
6214,1
11774,0
11365,0
10688,1
290,0
1725,1
2640,0
5315,1
11156,0
1363,0
9631,1
12999,0
7741,1
13368,0
7949,0
10921,0
12954,1
4402,0
5839,1
12423,1
3174,1
5137,1
1228,0
3624,1
2382,1
3274,1
10906,0
5752,0
13038,1
12816,1
11408,0
11675,0
7410,1
9189,0
3538,0
11953,0
7038,1
7332,1
7608,1
12443,1
