,P,Q,A
6754,12.729658482702376,3,1
79,3.228280985405738,2,1
4366,4.00621241570763,1,1
4910,1.4878114849099464,1,0
686,0.0803818873658737,2,0
6700,3.962726695560243,2,1
1834,2.0210169389872625,1,0
2092,0.07456453318933876,3,1
9820,0.6127471081410341,3,1
13184,3.635865742881995,1,0
12700,5.40795755892348,1,0
1931,12.141220109102495,2,1
1663,-1.7661282264181795,2,0
12654,7.601351550160005,0,0
133,20.26959503765069,2,1
2427,6.264625499881985,3,1
1766,18.66174257925745,3,0
13490,7.820243703595111,1,0
8151,-2.2049775513952214,1,1
3930,-0.5294019346708676,3,1
8387,4.981168754458733,1,0
104,-0.13530588502329532,1,0
8231,7.282687417786124,1,1
3890,3.979434184154593,1,0
2789,-1.4368819534121289,3,1
2588,8.418638407180694,2,0
1630,8.770586824786143,2,1
11420,9.635898615599267,1,0
10488,6.104443097240681,1,0
9922,5.709773205480013,1,0
9391,5.068158368235419,2,0
4314,7.140036474949711,2,1
6805,5.504656382260375,2,1
1459,3.2263326735489604,3,1
3320,21.72628928091893,1,0
6197,-0.47823440339620227,2,0
7898,8.917990360494175,3,1
7933,7.421404647522843,3,1
11751,9.351859634946107,0,0
1148,2.294791188112736,2,1
8826,9.388895931761656,1,0
9892,7.254868761337503,3,1
2974,7.811116991334455,3,0
12879,3.42197335685993,1,0
3534,3.6476841622158327,1,1
4421,-4.014474101252715,2,1
4143,1.8907955749607015,2,0
7396,0.5456079447911371,2,0
12738,9.131072922742833,2,0
199,3.650891235972564,3,1
10689,4.852279785028094,1,0
522,9.658836817554398,2,1
2155,7.488718390134369,2,0
317,0.3423963105428829,2,0
10231,-4.062508012658376,2,1
12585,4.304930570993411,0,0
4181,8.647570773006873,2,0
12664,5.979888419800876,2,0
3543,3.163579307031637,2,1
7847,16.04456856388481,1,0
1567,5.095512038619763,2,1
7387,3.1726915564135183,3,1
8810,1.5798909598786,2,0
12628,9.581624947885784,1,0
8260,5.227354683718925,3,0
7636,4.489189579341138,2,0
5239,11.123284102934726,3,0
6674,12.469093966709679,0,0
11640,1.6924345234312979,1,1
11343,6.988055018087,1,1
10032,3.6111399620666442,3,1
5128,11.73538271777148,3,1
1414,17.385241707789667,3,1
7552,2.5322056090672684,3,1
5338,0.8909973777671795,2,1
1881,18.428066813689046,3,1
3656,2.483831971890206,2,1
6897,1.23522858535565,3,1
12755,3.757621459433864,0,0
5742,6.620915446331484,1,0
8186,6.822795055371246,3,1
13095,3.566485077514721,2,0
9880,3.8442735177302767,2,0
7564,-0.004806480355596721,3,1
2401,4.054214434864763,2,1
12579,4.590537316592094,1,0
1249,21.17137954976297,3,1
12550,8.315206829701866,1,0
5167,5.677308485721129,3,1
1295,7.213624881422652,2,0
12357,7.219472322019833,1,0
1231,-0.9852599118054126,2,0
4267,-1.5533792948019838,2,1
9770,0.24936886925305646,2,1
3713,13.515539501761651,0,0
12746,6.506953347348436,2,0
4388,3.606075232216568,2,0
11624,-2.0891288091746754,2,1
4083,9.211944332048608,1,0
5979,4.938499772077503,1,0
1667,10.214442269123948,1,0
2563,-0.978593896460203,2,1
10476,9.13058919160576,1,0
3163,4.804275050204436,2,0
822,6.452953380530642,1,1
12963,4.894014806756941,1,0
12070,3.2825897745028656,1,0
12588,4.0129494606458325,3,0
11728,3.5329407005080595,3,0
1810,9.864764986271053,2,0
10773,8.892866190410988,2,0
11190,5.967538826621647,2,0
1410,6.240673043940633,1,0
13268,5.1680788578563845,1,0
10933,6.5608657333065485,2,1
1520,4.739817818097086,3,0
7904,1.9902193328680697,1,1
11060,-0.04040674501438435,3,0
10247,1.382005736973904,3,0
7244,3.7165767090963717,2,1
1250,1.3983119776945294,2,1
7222,13.191011007480403,0,0
11386,1.2249407783413664,0,0
11794,1.6345074655803975,2,1
13020,5.799638988550183,2,0
10388,4.644883723005103,2,1
85,0.5084379319285384,3,1
128,7.752383060587648,1,0
3608,0.46623471767754654,2,1
8255,-0.959192001627257,2,1
6369,2.812393396942254,3,1
8683,0.8543722061696175,2,0
11290,6.310454960803534,1,0
13290,1.013897134551963,0,0
5747,7.342692014026493,0,0
8625,-1.5260122535302854,3,1
5168,1.762320190705237,2,0
6595,6.790024929394575,1,0
11402,7.9346502758672655,3,0
713,2.852649818315218,2,1
6285,-0.05821466120820995,3,1
1832,5.993012667447521,3,1
7145,0.16117291047219023,3,1
177,2.0208059948415507,3,1
6917,-0.4354209282998278,3,1
4351,5.893363356503179,0,0
8904,1.8594581862178554,3,1
5725,3.7365770275397585,2,0
6704,12.81793374185903,3,1
13071,0.1296122742578314,1,0
1012,-0.5599904123385893,2,1
4658,14.615728530611072,1,0
398,1.1658746517792116,2,1
12609,4.581808704536366,2,0
7326,7.412688976109859,1,1
12614,5.756347953537269,2,0
826,2.081703326354841,1,1
6068,-2.3211931143511633,3,1
5019,11.614847332927303,3,1
11174,1.2323819101629687,2,1
2698,8.76970407279086,3,1
1364,6.3207094285941245,2,0
2245,1.0533201649065844,1,0
2679,4.259004411812776,2,0
8669,12.404930946577132,1,1
7880,4.646381759831501,1,1
10839,2.5100364395866226,3,1
1412,1.6248842077269274,2,0
12463,0.8164364727982549,0,0
1532,-2.4519729098386454,3,1
1018,5.547587670835024,3,1
11723,1.1598695903553213,3,1
6484,0.31685988045901103,2,1
9726,3.097876865687002,1,0
1183,5.213175786840656,3,0
9985,17.918347480636136,1,1
3307,4.211937826670129,1,0
11289,0.25512785950227346,3,0
2806,9.909376044150722,2,0
5614,4.273880157691985,2,0
4403,6.876338058451099,1,1
2606,4.641835318586036,2,1
10107,9.230858518000197,2,0
270,4.2087409461811225,3,1
6911,12.06311160401707,1,0
2127,9.448117695746312,2,0
4328,2.9163897453958354,1,0
2306,1.8161852282268476,3,1
5263,2.7726719290076938,1,0
10681,4.775533322450933,2,0
12462,-1.8271305615957834,2,0
4264,7.934916575842177,2,1
2222,-6.445827893229132,3,1
10731,4.849049207514258,2,0
12340,1.6265419544957795,1,0
1088,0.6795757374599598,1,0
6697,2.1532043306705635,1,0
3088,10.029332900428994,3,1
5229,6.452468639019989,2,1
2465,3.572407234154305,1,1
2172,6.793048620132613,2,0
3694,9.501722796012862,3,1
7891,6.455774296358893,3,1
12720,3.7395510198964734,2,0
743,1.9577027609081294,2,1
11158,1.9436320571045422,2,1
7754,6.875098532260159,2,0
8567,3.680748037661963,2,1
7298,5.9217295604160345,3,1
8504,10.777501231095407,2,0
744,4.642089902519528,2,1
11654,15.0466809788774,2,0
6361,26.406511839864212,1,1
11380,9.477591002670323,1,0
7025,4.897592783228058,1,0
5953,8.167327855715051,2,0
5054,4.167358602398737,1,1
9783,7.363352182861675,2,1
1543,-0.3030810960315877,1,0
11530,9.512704185995023,1,0
13128,5.3689163886597795,2,0
9701,-0.6537518964267639,3,1
3677,5.255950896440153,1,0
1974,3.2671799266972252,1,0
11063,-1.153669609007189,1,1
5484,16.99702378474093,3,1
3393,-0.9131523295571298,3,1
3502,6.922121811740957,3,1
12745,10.135086226360423,1,0
4849,6.503912707026011,1,0
2643,3.017593127248497,3,1
11099,5.011785732512403,0,0
2446,7.1864518758124225,2,0
7516,6.334277459306148,2,0
905,16.812716690168024,2,0
11853,6.902046646886021,1,0
7989,4.7489460128067895,1,1
7095,5.988297412972409,3,0
5251,8.034254606202897,0,1
9348,-4.271160701475997,2,1
8197,2.053658895427876,2,1
11818,5.142547666576781,2,0
1059,7.523478175972485,3,0
