,Y_real
3547,0
3221,1
831,0
9315,0
5420,1
8436,1
3447,0
7748,1
2266,0
3220,0
4546,0
5583,0
6626,1
2677,0
10619,0
2216,0
4168,0
5273,0
227,0
1429,0
7355,1
9560,1
8844,1
4579,0
9769,1
1194,0
6183,1
2968,0
3150,0
10950,1
4558,0
5760,1
7146,1
6000,0
1943,0
5624,0
722,0
8213,0
58,0
9882,0
4514,0
6360,0
6840,1
2184,0
8515,1
8985,1
5102,0
2043,1
3276,1
9272,0
4744,0
2759,1
9002,0
10894,0
7383,1
8922,0
1526,0
1494,1
4484,1
5011,1
6511,1
6441,0
3771,1
8361,1
2171,1
5586,1
4199,1
5715,0
5953,1
5742,1
3075,0
834,0
4138,0
8285,1
8162,0
6167,0
6284,1
8402,0
9117,1
6886,0
7066,1
349,1
1619,0
917,0
8790,0
1133,1
3961,1
2684,1
1010,0
8652,0
9754,1
5433,1
2029,0
3799,0
8353,1
951,0
1616,1
3894,0
9403,0
6064,0
8116,0
10947,0
5767,1
2904,0
7380,0
862,1
5835,0
323,0
3814,0
6532,0
10265,1
4453,0
5254,0
5747,1
277,1
7642,1
5810,0
3821,1
108,1
7898,0
10553,1
6773,1
4895,0
9559,1
6475,1
10536,1
3090,1
10440,1
3100,0
7516,1
9716,0
9123,0
996,0
6804,1
10511,0
6086,0
5010,0
1539,0
10676,1
10496,1
6435,0
9069,0
1428,0
8648,1
5283,1
6786,1
9183,1
4513,0
39,1
4703,0
4684,0
4942,0
1034,0
7288,1
6865,0
5503,0
2766,0
3563,0
5698,0
10300,1
11041,1
4523,0
1188,0
4133,1
40,0
1834,0
6213,0
634,0
8069,1
9073,1
4705,0
9611,0
6679,0
6903,0
5309,0
8022,1
153,1
9861,1
127,0
4806,0
11236,0
10428,1
11100,1
9527,0
10138,1
9176,1
7827,1
4008,1
9158,0
9360,1
2610,1
2738,1
8160,1
5235,1
3291,1
10012,0
5974,1
896,0
4299,1
4575,1
800,1
1809,0
6412,0
4272,0
6397,0
5212,1
8478,0
11211,1
1753,0
6263,0
2018,0
10357,1
7566,1
4965,0
3963,1
10543,1
2589,0
2724,1
1273,0
2892,0
3151,0
5489,0
2432,0
2820,1
10096,1
10224,0
9952,0
1653,0
8837,1
6283,0
11244,1
10215,0
8333,0
5269,0
10136,1
4,1
8448,1
905,1
9855,1
7225,0
8876,1
301,0
173,0
5814,0
9006,1
2854,1
3737,0
7276,0
7174,0
8544,1
3919,0
5988,0
7559,1
2211,1
7405,1
7570,1
622,1
4339,0
1354,0
3712,0
10660,1
5550,0
11240,1
11048,1
2930,0
5407,0
6317,0
2701,0
5140,0
6243,1
8921,0
4039,0
4115,0
8039,1
9425,0
1543,0
6952,0
1709,1
947,1
2292,0
5799,0
10431,1
4447,0
149,0
3438,0
10070,1
7773,0
784,0
9711,0
9284,1
10781,1
9173,1
10978,1
11217,1
3209,1
930,0
10982,1
2659,0
3139,1
8918,0
11200,0
2672,0
4629,0
2835,1
4380,0
4297,0
2412,1
3811,0
4693,0
6507,0
201,1
3719,1
4666,0
9068,1
9876,1
10317,0
2477,0
963,1
172,0
4492,0
3981,1
8057,0
7227,0
7706,1
5097,0
4980,0
8400,1
8394,0
2982,0
5095,1
4282,1
2884,0
6093,1
9359,1
7507,0
9401,1
5383,1
3917,1
7701,0
7553,1
548,1
8696,0
9832,0
4328,0
4861,0
2463,1
3530,0
7590,0
1221,0
4634,1
4114,0
180,1
8943,1
1552,1
10554,1
807,0
50,0
10084,1
6208,0
6220,1
9058,1
7556,1
23,0
5225,0
4401,0
7051,0
737,0
10202,0
2339,1
7623,0
3333,1
2098,1
10318,1
4904,0
7077,0
6197,0
528,0
1679,0
5606,0
6346,0
9831,1
7111,1
5630,0
6777,0
2852,1
5358,0
2886,0
3165,1
1603,1
4993,0
10142,0
1620,1
5748,0
6622,1
2296,1
8588,0
9479,0
10211,0
7536,0
5188,0
2896,1
2726,0
2755,1
3711,0
4031,1
4218,0
3463,0
470,0
10708,1
10434,1
2838,1
677,0
5402,0
8089,0
10790,1
6083,0
8927,0
7469,0
6753,0
8444,1
4481,0
7995,0
8766,0
1881,1
4641,0
3464,1
5541,0
615,0
3763,1
6496,0
9114,1
8796,0
3515,0
6339,1
6798,0
3596,0
6128,1
1768,0
657,0
418,1
2254,0
10915,1
6392,0
4880,1
9135,1
236,1
4311,1
7190,0
3694,0
11132,0
9289,1
8490,0
56,0
11172,0
5587,0
5563,0
7686,1
2449,0
4456,0
7210,1
6023,1
11002,1
6358,0
10166,1
6489,0
8452,1
1371,0
8681,1
6843,0
4855,0
2644,0
2631,0
7407,0
3113,0
9877,0
4849,1
8967,1
11201,1
1997,1
10697,0
7244,0
1803,0
1527,0
2735,0
1520,0
5882,0
4223,1
10288,1
6462,0
10353,1
7505,1
8398,0
6928,1
631,1
5264,1
1866,1
3087,1
6282,1
6492,1
9699,1
8826,1
3486,0
1946,0
8911,1
9866,0
5712,1
2332,1
5746,1
240,1
10024,1
2555,0
3186,0
4881,0
162,0
4700,1
5185,1
10512,0
731,1
1240,1
8008,1
9584,0
8972,1
6364,0
225,1
10523,0
7466,0
1297,1
6615,0
10701,0
3843,1
7394,0
4681,0
1972,0
8493,0
2115,1
5375,1
10245,1
6996,1
1375,1
10219,0
9390,0
1436,1
4994,1
8380,1
4101,0
9730,0
5531,0
4836,0
9197,0
560,0
6227,0
397,1
654,1
10143,1
60,0
7100,1
2341,0
9701,0
5655,1
2321,0
3729,0
9817,0
8082,1
8475,0
3446,0
4796,1
11055,1
5933,1
5719,0
9113,1
9656,0
6171,1
5743,1
1630,1
8134,1
10025,1
5800,0
788,0
2992,1
9918,1
5816,1
6961,0
5187,0
9400,1
4034,1
6867,0
28,0
11018,0
11166,1
10203,1
9892,1
1265,0
9627,0
11125,0
10871,1
8628,0
54,0
9852,1
1251,0
1386,0
2971,1
10593,0
9652,1
6660,0
3392,0
7823,0
9301,0
5231,0
3709,1
3375,0
4496,0
521,1
9848,1
2731,1
2152,0
4089,0
3416,1
9374,0
4072,0
3491,1
2718,1
5033,1
1082,0
379,0
1378,0
7945,1
6416,0
4436,0
3897,0
6069,1
1970,1
890,0
8357,0
10805,1
990,1
9328,1
519,0
5526,0
10051,1
1001,1
5107,1
4334,0
125,1
3084,0
2529,0
11199,1
8561,1
1744,0
1367,1
6945,1
755,1
4143,0
9004,1
8634,0
10875,1
1239,0
9823,1
8563,1
1789,1
6491,0
7095,1
2873,0
4005,1
3198,1
3781,0
1005,0
6574,0
9597,0
3780,0
9162,0
8595,1
10117,1
8916,1
3052,1
6420,0
11142,0
8266,1
7486,1
1180,0
1735,0
6338,0
1950,0
5041,1
1599,0
8102,0
3626,1
8974,1
400,0
675,0
10902,1
7540,0
7941,1
3027,0
184,1
5255,0
6909,1
10371,0
3386,1
1420,1
5075,1
2792,1
389,1
8077,0
5806,1
10944,1
874,0
8327,1
4362,1
10720,1
219,0
8479,1
1562,1
1157,1
1192,0
4953,0
999,0
4752,0
5251,1
2386,0
11058,0
533,0
10513,0
5575,0
9654,1
3677,1
10822,0
5771,0
6380,0
4526,1
6712,0
2180,1
686,0
7439,0
10668,0
8574,1
5051,1
8507,1
9375,1
8094,1
3273,0
1861,0
3797,1
7754,0
1048,1
4912,1
10891,0
1057,1
8746,1
2965,0
2569,1
8742,1
9155,1
6914,1
16,0
2540,0
7015,0
5425,1
9130,0
9498,1
9244,1
1444,0
8466,1
11207,1
3679,0
5130,1
10417,1
6686,0
8070,1
1179,0
2116,0
762,0
9575,1
8386,1
6873,0
10816,0
620,0
998,0
866,0
5653,1
4589,1
502,0
3637,0
10168,1
10746,1
11078,1
5726,0
1026,1
10745,0
10350,1
435,0
2618,0
5963,1
4418,0
2450,0
3207,0
10198,1
3095,0
4900,1
8913,1
597,1
10495,1
2518,0
6118,1
8208,1
9659,1
7899,0
4659,0
6252,0
516,0
805,0
5381,0
3158,1
1214,1
1088,0
1836,0
6329,0
9016,1
10162,1
4723,0
6555,0
2179,0
841,1
859,0
3748,0
10109,0
3147,0
7370,0
10272,1
10213,0
6856,1
10197,0
5124,0
2396,1
759,0
5725,0
1827,1
1982,0
9021,0
7998,1
6351,0
3658,0
10622,0
8711,1
11031,1
2295,0
4505,0
8491,1
2506,0
8996,0
8438,1
9617,0
614,0
148,0
9308,1
532,0
8636,0
2603,0
9020,1
1493,1
10118,1
2121,0
1898,1
7652,1
8498,1
3326,0
7467,0
3089,0
8335,1
6041,1
8168,0
4134,1
7332,1
1645,0
5242,1
1272,0
7683,0
2747,0
1890,0
2923,0
797,1
5016,0
273,0
2815,1
6439,0
10794,1
5084,1
1886,0
8473,0
10319,1
10931,1
5339,1
10409,0
9475,1
7321,0
1135,0
8792,0
2794,0
5992,1
5528,0
10041,1
7435,0
6862,0
8492,1
9820,0
7045,0
10028,1
8158,1
10742,1
7123,0
8777,1
3243,0
1118,0
5422,1
2824,0
8241,0
6585,1
2675,0
9252,1
2099,0
1038,1
2952,0
150,0
1955,0
4214,0
10777,1
482,0
7845,0
8457,1
7764,0
5850,0
10094,1
2125,0
7092,0
8379,1
893,1
10985,0
5542,0
515,0
100,1
10683,1
1104,1
2604,1
2101,0
9122,1
2956,0
4858,1
10749,0
1244,0
6002,0
1045,0
7124,0
6111,1
6379,1
9506,0
1173,1
7938,1
6877,0
5443,0
2192,1
8779,1
3870,0
8296,0
70,0
9568,0
5979,0
7222,1
7564,1
9525,1
7293,0
1415,0
5379,0
5755,1
4250,0
1542,1
10149,1
10942,1
1699,1
7300,0
8721,0
4493,0
4882,1
2283,1
8282,1
7141,0
4529,0
7924,0
9867,0
7687,0
6198,1
952,0
10120,1
9215,1
10921,1
6581,1
5206,0
4388,0
6385,0
10809,1
4955,1
6262,0
2899,0
7277,0
1183,1
321,0
8087,0
2257,1
6770,0
1225,1
10284,1
5193,0
7903,0
9955,1
4599,0
316,0
8125,0
3101,0
1332,0
5424,0
901,1
5018,0
5285,1
10157,1
6526,0
5494,0
6068,0
11198,1
1759,1
705,0
7864,1
4940,0
8637,1
7646,1
8762,1
10719,1
3387,0
8200,1
9382,1
3864,0
10253,1
4424,0
1117,0
7927,0
4144,1
6029,0
3013,0
9963,0
5371,1
10763,1
7843,1
337,1
3355,1
6223,1
4082,1
7339,1
10549,0
9996,1
2051,0
8153,1
8992,1
2091,1
3377,0
2154,1
6021,0
3994,0
3498,1
8940,1
10542,1
5869,0
5454,0
403,1
2358,0
9145,1
4417,0
10065,0
11083,1
10192,1
7850,0
10139,1
3064,1
3393,0
6523,0
6509,0
4853,1
1899,1
3762,0
1923,1
10351,0
6907,0
5847,1
1675,1
66,0
3432,0
6326,0
9165,1
1828,0
10986,1
8585,1
2267,1
5958,0
908,0
1863,0
2806,1
120,0
3404,1
9925,0
609,0
8100,1
4227,0
2076,1
9845,0
3091,1
3910,0
7573,0
5250,1
6980,1
4570,1
101,1
2174,1
9968,1
8518,1
11128,1
10413,1
10205,1
3042,1
1208,0
2278,1
6423,0
3816,0
4913,0
11113,1
9435,1
4809,0
3059,1
2628,0
4851,0
5397,0
5228,0
6752,0
1369,1
7630,0
9957,1
10377,1
7238,1
2032,1
3755,0
7125,0
5899,0
11171,0
2175,0
3768,0
3569,0
3860,0
643,0
7702,1
1443,0
7178,1
3628,0
3693,0
3470,0
10592,1
6713,0
7434,0
4322,0
5131,0
2114,0
7055,0
10033,1
2271,1
1044,0
1016,0
3277,0
3812,0
836,1
987,0
5905,0
378,0
57,0
10132,1
1387,1
1665,0
3292,1
8304,1
2113,1
6842,0
10903,1
11046,0
7065,0
2314,1
688,1
8847,1
5793,0
10693,1
1839,1
9398,1
9519,1
6613,0
7373,0
647,0
7253,0
130,1
3736,0
89,0
33,0
8329,1
3484,1
7931,1
8979,1
2001,1
17,0
10580,1
10410,0
2843,0
7283,0
4293,0
1829,1
9189,1
8614,1
11243,1
3760,0
97,1
6889,0
2067,1
8607,0
7709,0
546,1
5401,0
868,1
7148,1
7699,0
7182,1
10310,1
9110,0
4811,0
9136,1
9967,0
7781,1
8664,0
1059,0
7690,1
5275,1
1410,1
2423,0
335,1
8269,0
11011,1
3132,0
5635,0
21,0
4402,0
6469,1
6593,0
165,0
6604,0
6554,0
4285,1
9535,1
4158,0
839,0
2166,1
1413,0
10926,0
5941,0
3850,0
1351,0
2554,1
2910,0
5944,1
11102,0
7173,1
9843,1
6294,0
1327,1
2333,0
7035,0
442,0
8670,1
7877,1
166,1
3701,0
6681,1
4699,1
6137,0
3271,1
4487,0
7837,1
5474,0
4083,0
10657,0
1032,0
10361,0
2383,0
10821,0
34,1
3307,1
10294,0
7457,0
4584,0
2861,0
1642,0
8429,1
6359,1
10577,1
1765,1
10562,1
3885,1
10337,1
4420,1
7048,1
3107,0
2690,0
8728,0
690,1
7261,0
3764,0
1418,1
10993,0
714,0
10704,1
3825,1
10502,0
527,1
5561,1
6536,1
2917,0
10877,1
4442,0
2679,0
9405,0
6113,0
5364,0
396,0
5191,1
308,1
10212,0
2883,1
5885,0
7498,0
3110,1
9509,1
348,1
9293,1
3433,0
10154,0
4620,1
7021,0
1707,1
7239,0
745,1
5204,1
6810,0
1932,1
3664,1
4898,1
6497,1
4909,1
6656,1
1072,0
10788,1
9905,1
3487,1
10080,1
6180,0
628,0
8052,0
1022,0
11182,1
188,0
581,1
2145,1
3206,1
7700,1
9258,0
6157,0
10923,1
8179,1
7554,1
4167,1
1182,1
10478,1
5518,0
5232,1
2625,0
2867,0
7433,0
6729,1
3337,1
9864,1
3065,1
3145,0
3451,1
4323,0
8591,1
10964,1
6084,0
8694,0
7326,1
5392,0
6682,0
1419,1
224,0
7762,0
1097,0
3192,0
10762,0
10354,0
8854,1
2058,1
5856,1
8257,0
2150,0
6583,1
10271,1
1115,0
5001,0
311,0
10026,1
1417,0
9213,1
5978,0
7411,0
4086,1
481,0
856,0
8623,1
3022,1
1252,0
5112,0
11192,0
11154,1
5052,0
270,0
4116,0
10407,1
7672,1
7666,1
7008,0
3334,1
8356,1
8769,1
7525,1
7105,1
5315,1
5430,1
780,0
9384,1
4958,0
4977,0
5996,0
7426,0
10387,1
4348,0
624,1
2017,0
1654,0
6650,0
5431,0
9266,1
8280,1
5881,0
8411,0
3557,0
2656,1
1319,1
7958,1
8733,1
10812,1
9757,1
10911,1
5237,1
2343,1
5055,1
4590,1
1782,1
37,0
4379,1
11222,1
6998,0
6979,0
2288,1
904,0
5573,0
2465,0
194,1
1591,1
11158,1
7608,0
9685,1
6042,1
6719,1
9057,1
8739,0
10137,1
8371,0
3806,1
4769,1
5129,0
4454,1
2495,0
7855,1
3788,1
1219,0
10060,1
9973,1
11124,0
10612,0
4869,0
8666,0
7331,0
962,1
8863,0
6741,0
4204,0
10362,1
7350,0
3488,1
2425,1
7578,1
2431,1
7494,0
48,0
1821,0
6242,1
5529,1
7400,1
6221,0
6690,1
918,0
10264,0
1232,0
7895,0
727,1
11134,1
708,1
522,1
6664,1
6958,0
10073,0
8376,1
6632,1
6460,0
6177,1
3161,1
1266,0
10582,1
3019,0
6747,1
8914,0
6981,1
3952,0
1715,1
7826,0
8271,0
9349,1
3695,0
7265,1
3073,0
8632,0
99,1
5091,1
9818,0
8781,0
2767,1
9472,1
3314,1
2493,0
5846,1
8347,1
2503,0
10315,0
10390,1
3239,0
3210,1
10948,0
582,0
4117,1
2651,1
10699,0
4132,0
9591,0
1548,0
4731,1
1774,0
638,1
4383,0
9914,0
10181,1
10442,1
483,0
9829,0
5331,1
7140,0
9601,0
1670,1
10372,1
3681,0
11007,1
5826,1
3608,0
11175,1
3611,0
11161,1
5859,1
4153,0
2906,0
4689,0
3011,0
723,1
8076,1
10470,1
3787,0
8382,0
7424,0
5841,0
10201,1
10526,1
7076,0
7286,1
10128,1
4253,0
1337,1
5229,0
7752,0
469,1
9337,1
3933,0
5373,0
5248,0
7199,0
10452,1
7224,0
10207,1
9008,0
3315,0
3203,0
3661,0
5025,0
4840,1
10883,1
6718,0
4081,1
8892,1
6933,0
7206,0
2382,1
3146,0
4644,0
8639,0
2857,1
1237,1
919,1
7204,0
6090,1
2161,0
10068,0
7807,1
8799,0
676,1
10227,1
1196,0
9462,0
7463,0
9096,0
210,0
6723,1
3839,0
10352,1
6225,1
7514,1
2831,0
7771,1
3494,1
7415,1
1234,0
1685,1
7721,1
5118,1
3039,0
9537,0
3074,1
5465,1
7371,1
10263,1
6879,1
4593,1
6908,0
11131,1
11063,1
10087,0
439,1
1289,1
2226,1
5677,1
6434,0
10581,1
5929,1
4446,1
