,P,Q
7913,6.397891595081145,2
8982,5.839920504410686,1
9922,5.709773205480013,1
638,22.769240040238174,0
2487,2.788217991591316,3
3207,1.391855235219438,2
10580,7.903852083334282,2
2491,1.343535804461259,3
8774,11.337761326130583,2
1906,1.370056604629577,2
7847,16.04456856388481,1
3486,-0.6771712679534039,2
1389,3.075518709979694,3
10849,10.553334661816445,3
4254,1.9948075717432994,3
8824,4.108078026819365,1
902,1.0438928144522912,1
6496,3.1238142357468615,3
12454,3.830624787745238,1
4461,5.374330758880655,1
6359,4.611475796713855,0
9288,2.1902243693608723,2
12580,13.811713431498605,2
1766,18.66174257925745,3
2175,5.217859586333953,2
1154,6.470416731672898,1
4442,0.9705518440536862,2
12371,3.920159750990596,3
690,18.39675293460096,1
5925,7.359086001032406,2
10759,11.16278874062565,1
6165,-3.3011783118343923,2
12493,6.431265085221423,2
8150,3.580934214252858,2
1249,21.17137954976297,3
5921,15.774589879506177,1
10695,13.19466680429911,2
8845,1.6921905555416514,1
10655,12.926711200666428,1
3080,5.44088540422162,2
5129,2.8450922478170075,1
1412,1.6248842077269274,2
5394,6.311028815699014,3
2084,6.888159528255003,1
1516,0.9805023702222436,1
11981,4.832019470906802,0
2537,-2.383900380313135,3
1754,-1.8279344318094832,0
7192,5.4880291870099605,3
4500,29.11964165588401,2
9243,4.965655587589676,2
12725,13.226430632345679,3
809,-0.5012321147647099,2
3596,2.9552966132542773,1
7025,4.897592783228058,1
7960,1.3746196922018517,2
2665,5.358007165686963,3
7072,2.932009247679564,3
10462,3.9788437693821166,1
6098,14.462679264124652,2
8306,-1.9344191032317872,2
1254,12.808894542074121,3
1891,0.17230363975771867,2
8117,8.706479597130615,0
5449,13.433220832809871,1
982,6.508416523059234,1
9042,5.862004885765643,1
11890,7.865025065987007,2
2383,4.014951608086286,2
5234,2.964392360240904,3
10901,6.9808614401441496,2
11597,8.712558173235664,0
7991,6.727458211662529,1
6644,4.536315575240332,2
398,1.1658746517792116,2
11167,5.063356430955558,2
1950,-0.8205489640114147,2
4115,0.17962485292851027,3
2283,7.527138071474104,1
2306,1.8161852282268476,3
3389,2.4141359229234425,3
7721,3.5048566009086266,2
2943,3.3624572408501097,1
11526,9.077652998202675,2
7864,3.5754038854433015,3
11091,2.231110092579771,1
2697,9.282313622317412,0
1542,3.363223026678977,3
11184,1.6839550474572995,1
2529,-0.69669412400273,3
1893,4.567791087017828,2
2380,-3.0068002446332294,2
2196,5.292354760286526,2
945,0.12738087905537676,0
3324,3.368653659117136,3
4189,0.4468992523320776,2
5793,1.7952128899931123,1
311,1.424558438284904,1
8668,6.126991595300194,1
2948,1.626343803582784,2
11069,12.788389587563014,2
1772,2.3835532003354927,3
11525,5.321567111808045,1
6527,0.6080447306945724,2
5759,17.219823040067748,0
11342,2.6560212065870004,2
3027,-0.474284196554132,3
10473,9.936092099515442,3
2750,-3.9551708802760026,1
11196,2.2478715681610075,1
10861,3.5236820821739006,2
3342,25.049909060280083,2
6262,8.932075358960683,2
1684,2.933121322472047,2
1665,3.8991382424347414,2
4414,12.60691115407868,3
8343,0.7049993891746809,2
8691,6.015255864912712,0
1974,3.2671799266972252,1
9847,-0.759488543259665,3
7997,5.64662298878841,3
6394,-0.9445630600233839,2
12378,5.3689163886597795,2
8548,1.0984947055251824,3
6436,1.037576573722243,3
12518,5.1680788578563845,1
2396,9.834026023043396,1
3718,5.4989771033117725,3
9890,-0.9398376184674269,2
5755,5.019314082901229,1
3704,0.4095378026249873,3
3650,-0.5948843119136873,1
9362,0.30562253199081896,3
1012,-0.5599904123385893,2
1204,4.208293369161344,3
7813,9.74478450257297,0
5760,10.097367876783194,0
276,11.971904523441028,2
4352,7.6152094889223605,2
12036,7.619611027861779,2
1813,9.454955655717582,3
7896,3.9943139752277075,0
177,2.0208059948415507,3
813,6.7452313806418704,2
10189,14.1511824522409,1
2507,5.949257026350667,3
11512,2.08741243899149,2
11230,1.5426779366161385,0
5554,1.8966621770614958,1
8450,-0.8765733241510449,2
6873,2.3894714877629273,3
907,0.7528958667402621,0
12197,-0.015001319609729169,1
11880,4.729500570434007,2
1725,3.9780597588603848,1
4586,14.606273861760497,0
6248,4.199237498734478,2
3423,2.4969471163267487,3
1531,0.08903705572762344,3
98,4.356263557351509,3
9200,2.491125831413151,1
6015,0.9261839150704699,1
8938,0.7755622835059452,1
3004,4.118500055627161,2
5397,-1.4701391410915674,3
8595,-0.22332336327554247,1
11881,10.29176941484163,2
5054,4.167358602398737,1
12535,-0.08767678521923639,1
8735,6.803665883039994,2
8099,7.007969127703726,2
11629,13.977095163849894,2
9610,9.686475116664937,1
1559,3.4921896399617767,2
2879,2.492277525355666,2
3721,4.24530210915457,2
3587,9.735728405947352,1
5956,6.735943885529528,1
10909,12.651678710437091,1
1231,-0.9852599118054126,2
5494,0.07801626517178284,1
7140,0.6148043426640579,2
2608,1.3847245413414033,2
12270,5.799638988550183,2
5933,4.303561219855884,2
7266,-0.9322704298093178,1
7226,-0.04817850997009421,2
4959,-2.2925356509654535,2
4683,6.870518257354771,2
9425,4.116197704564866,2
5718,-3.6889150744282446,2
3677,5.255950896440153,1
9510,4.734058006483088,1
1432,-1.0399515061421432,2
6083,6.863529846165425,3
9837,0.052637396117785756,2
12486,6.712055497001735,2
8497,10.1473326684418,2
7601,3.6748580726241777,2
6048,7.1456774915343955,3
12026,11.122192395434835,1
3029,7.331780081221016,0
2968,6.498134554889777,3
9596,-4.080791433090168,1
11877,5.239992009944718,1
9856,5.7534714204462505,2
1266,2.5523545451278187,1
9687,2.2890686130230313,3
316,3.252012410561835,3
8363,6.33074846011702,2
10337,16.591386877439025,1
1219,1.2003565094501598,1
5255,2.186773138907384,2
10112,-0.6732826721330247,3
11829,4.590537316592094,1
8916,3.147779294863726,2
9737,0.7137619282422305,3
7300,0.9634757206366247,1
5747,7.342692014026493,0
8297,-0.05783700376650969,2
6177,5.669347734448744,2
9699,10.481128158434437,1
5969,2.403645383115676,2
9139,6.182113377770548,1
485,-3.0564190099891193,3
6792,0.1222272229631276,1
8914,-2.664416085908293,3
12708,7.774459713135638,1
10495,6.607648064148114,1
10343,6.711041840913489,3
1264,3.2455451458502393,1
4607,7.399607524596023,3
1855,2.446952501819008,1
1996,0.7546190503878817,1
5530,5.543525455590119,1
937,4.46887098985299,1
4398,15.91432646529211,2
2456,5.963737237521017,1
4617,8.900657364463,1
140,3.4487181838035004,1
544,11.732369981424451,3
202,-2.8640997241276027,3
2621,-0.41835243161539903,3
9744,8.33086786645902,2
10107,9.230858518000197,2
9341,-0.12215985858836054,3
4012,4.74556137057689,1
9931,1.8071027028718285,1
1130,5.8700211420043615,1
3307,4.211937826670129,1
1820,5.433771488183101,1
11893,3.7120551804186754,3
4682,4.670174615052707,2
16,1.425775169656687,2
10713,5.632019824419058,2
4203,8.172405395276764,3
299,1.9486067339296538,3
10551,2.427561087634075,0
4281,5.106412109806465,2
9106,13.402586239903348,1
7314,3.8354869450710845,2
4105,5.778550647270343,2
7438,3.6988176271282414,1
9196,-2.117001150744117,3
12173,1.9431198177842866,1
5325,3.762966087218377,0
6986,0.533763561873827,2
4788,-2.2376204917503024,2
8777,4.498241841175409,2
9105,1.1466259334987625,2
6552,0.9043654253058108,2
9410,2.8176394920710015,1
1497,6.13408419518688,2
9371,1.9678266574976946,3
9797,6.971607195220657,3
2810,20.417720736324558,3
8795,4.641042362498123,2
11934,2.4816149202486706,1
5701,7.412760180438541,3
1659,1.3603783002632337,3
10106,4.38155537817727,0
11367,-0.9304943930253635,2
3375,-2.407341797247165,2
7904,1.9902193328680697,1
1059,7.523478175972485,3
8119,5.729126076506983,2
11810,7.301913396804844,0
5232,8.930900205721107,1
5775,4.872641223062641,2
737,1.4067580076413377,1
3608,0.46623471767754654,2
4501,4.625356672161098,1
7681,6.756643614772625,1
2138,4.317506260996851,3
10853,5.521468554942379,1
4688,5.791407145610546,1
1022,2.0821687554719857,3
7529,8.966241364805983,1
5899,5.182193573165297,1
10838,-2.0731406666070775,2
11581,3.2457033497680596,3
9741,5.031601650167244,1
9506,-0.5501232666066702,2
2222,-6.445827893229132,3
11820,-2.2381820108169515,0
9603,-1.7801685652981138,3
408,2.6466794230651765,2
5863,4.101013227320121,2
2152,5.066931084352539,2
9984,13.166230575336355,2
3733,-2.334324261578688,3
5671,-2.5824502717768905,2
9420,-0.1070050790947555,2
441,-0.8230227477022289,2
9340,5.1521749523057645,3
8260,5.227354683718925,3
4555,-2.1354296817155722,1
8989,4.825496031278289,2
2321,4.815770068340088,2
536,2.0769621232224282,2
207,2.0266877446768214,2
1430,2.389893039616067,2
3388,-2.004460392978232,3
5001,3.444052184254751,1
10249,1.3986789974629517,3
270,4.2087409461811225,3
2058,6.626508631478381,2
8617,16.401907483761565,2
1970,4.725300401383708,2
1289,15.324419202302902,0
6198,12.941869921491781,2
11444,10.05375313294997,1
689,-0.41515393339100193,1
