,Y
8910,1
4593,1
868,1
5656,0
9132,0
4809,0
9890,1
3840,0
3174,1
11671,1
10568,0
4873,0
3834,1
3314,1
4700,1
2744,1
2965,0
1496,0
9587,1
856,0
11017,1
1066,0
4505,0
1765,1
11443,1
11589,1
8794,1
2888,0
7701,0
9863,1
5155,1
8932,0
8529,0
2755,1
10749,0
1042,1
7457,0
1295,1
1512,1
9531,0
8348,0
5232,1
1994,1
7212,0
5953,1
4494,0
9020,1
3881,1
7194,1
6366,1
7744,0
11458,1
11884,1
7841,1
11224,1
3218,1
9094,1
2871,0
4796,1
9453,0
9378,0
7070,1
2661,1
628,0
11881,1
3029,1
11765,0
9808,1
6478,0
397,1
4646,0
11276,1
8174,1
5420,1
11875,0
11375,1
469,1
11609,0
2930,0
8318,0
5734,0
4461,1
11644,0
3773,0
2360,0
3781,0
2432,0
147,0
3557,0
8792,0
11808,0
11863,1
2765,0
10432,1
6757,0
321,0
5129,0
8504,1
2663,1
1719,1
10617,0
2066,0
908,0
8323,0
8214,0
354,1
4133,1
10210,0
9630,1
2722,0
8021,0
11714,1
5903,1
3363,0
7256,0
5611,1
3727,1
4674,0
7859,0
6798,0
11105,1
5338,0
5767,1
2550,0
4842,0
6836,0
11372,1
677,0
10934,1
8027,1
8811,1
5805,1
9814,1
8585,0
10776,1
11264,1
8594,0
3540,1
2847,1
4792,0
231,0
9933,1
1216,0
5057,0
3899,1
9228,0
2640,0
9178,1
9926,1
5214,0
7422,0
7919,0
7076,0
5208,1
6338,0
4238,1
6294,0
8743,0
396,0
184,1
5845,0
1225,1
8565,1
10402,1
11572,0
2055,0
11355,0
10184,1
4484,1
4091,1
5052,0
4464,1
165,0
6465,0
10134,1
11184,1
3258,1
2599,1
5384,1
6814,0
10058,1
10632,0
2816,0
10974,0
4130,0
9728,0
5149,0
9512,1
1251,0
11050,1
5099,1
3207,0
6747,1
5747,1
1350,0
6308,0
8281,0
7913,1
10707,1
11512,0
9848,1
8334,0
1355,1
10201,1
5630,0
7595,1
10244,1
1803,0
2420,1
1929,0
5531,0
8394,1
7346,1
8115,1
1059,0
10830,1
2955,1
735,0
11357,1
5933,1
5403,0
6177,1
499,0
11878,1
2410,0
9898,1
11686,1
10043,1
1928,0
5523,0
7391,0
4684,0
1566,1
6283,0
1436,1
8169,1
11827,1
2915,0
3980,0
1759,1
364,1
279,1
8816,0
11870,0
6395,0
1685,1
1173,1
8227,0
9945,1
2175,0
594,1
7138,0
3415,0
1746,0
8278,1
5295,0
1438,1
8296,0
7896,0
6439,0
5437,0
6663,0
8980,0
8422,0
9815,1
10741,0
7055,0
3436,1
978,1
8732,0
10313,1
3580,0
9663,1
3348,0
10110,1
1943,0
10815,0
2152,0
10009,1
10509,1
1375,1
9341,1
5787,0
11535,0
5017,1
2992,1
920,0
9860,0
6483,1
8671,0
869,0
2095,0
6319,0
8089,1
7844,0
4720,0
4903,0
6225,1
10793,1
2090,0
16,0
10223,1
9985,1
5238,0
9003,0
8319,0
8410,1
3087,1
1240,1
6441,0
10635,0
5225,0
9666,1
8260,1
2256,1
1729,0
901,1
2244,0
2604,1
148,0
9208,1
39,1
240,1
10073,0
10688,0
9621,0
2799,1
11192,1
4907,1
5118,1
7441,0
2551,0
8083,0
707,0
4210,0
3221,1
8586,0
1772,0
1946,0
4064,0
6170,0
10534,1
9214,0
888,0
2993,0
3146,0
57,0
3100,0
4824,0
331,1
11538,1
2863,0
3223,0
2876,1
2910,0
3952,0
300,0
5890,1
10947,0
9330,0
9905,1
4875,0
7165,0
2183,0
6679,0
2228,0
9690,1
9037,1
8629,0
461,0
5882,0
10310,1
348,1
7065,0
2621,0
897,0
6092,0
8010,0
7566,0
1076,1
2950,0
5545,1
996,0
2140,0
5335,0
11121,0
2052,1
6945,1
1536,1
6759,0
783,1
6978,0
8527,0
3795,0
9713,1
8918,1
1262,0
8377,0
2988,0
4125,0
674,0
10579,0
10977,1
2873,0
11342,1
6329,0
220,1
5249,0
5137,1
10034,1
17,0
8790,1
4856,0
4034,1
7383,1
11652,1
10916,1
10837,0
1532,0
7635,1
1192,0
2050,1
6358,0
4342,1
8454,1
7932,0
11632,1
