,P,Q
8910,10.483168724660768,2
4593,4.055120247087094,2
868,16.891370685426295,1
5656,-1.9403768061440734,3
9132,4.77104481930104,2
4809,-1.557135608864137,1
9890,10.144933302601265,1
3840,4.872308942689189,1
3174,3.9366168860404316,1
11671,6.97331518381752,2
10568,1.1184686934251502,0
4873,0.9555009699089405,3
3834,9.471962903213,1
3314,2.8834186827677346,2
4700,10.671853792308404,1
2744,5.364840952927084,3
2965,1.2996612269772285,1
1496,2.0617634197628525,3
9587,8.309164570212266,1
856,-0.19266369985148518,2
11017,7.455319424119048,1
1066,4.144701155516379,2
4505,3.181444808470841,1
1765,18.445052029073825,2
11443,13.257622189550645,3
11589,0.7039193254064671,1
8794,6.0388739474308775,3
2888,5.069225048680954,3
7701,-3.063050053362322,3
9863,4.852279785028094,1
5155,6.5005203546682155,1
8932,2.0359884061716085,2
8529,5.5918349793175475,2
2755,6.473078015994561,1
10749,2.453626798134629,1
1042,8.20068365041898,1
7457,9.495798838976231,1
1295,7.213624881422652,2
1512,12.268028610370877,1
9531,1.5729236777846214,1
8348,2.8027496013928834,1
5232,8.930900205721107,1
1994,16.863738597793365,2
7212,3.2666211760581576,3
5953,8.167327855715051,2
4494,-0.17159752212196744,3
9020,7.505137968558334,2
3881,3.33343726150289,2
7194,1.94169458820275,1
6366,10.517627112369153,3
7744,0.07415491395259832,1
11458,13.64289855936716,0
11884,7.141752288457894,0
7841,5.2865596931074,2
11224,9.274940139853735,3
3218,11.147792769652114,2
9094,2.937485205686577,1
2871,-0.24179903172694717,3
4796,14.899797617785563,2
9453,5.243134402542593,2
9378,0.8066524175948615,1
7070,4.586081381284343,3
2661,1.398204723308511,1
628,6.326826467645833,2
11881,11.7887138528122,1
3029,7.331780081221016,0
11765,0.8027612684069538,2
9808,7.794366399784443,1
6478,2.4002547289509297,0
397,9.677205751308087,3
4646,4.392888431268572,3
11276,11.122192395434835,1
8174,7.029842558620898,0
5420,7.308574067938902,1
11875,4.8993623625049185,3
11375,3.7503248773110776,2
469,13.3155379730003,1
11609,1.934391385284326,0
2930,1.8097277496490478,2
8318,-2.087650359130098,1
5734,6.37710695979904,1
4461,5.374330758880655,1
11644,-1.7376271188005565,2
3773,0.5877841317061446,3
2360,0.6282800841463059,2
3781,3.6460077479648385,2
2432,5.363160719187439,2
147,5.542420297312722,1
3557,1.339483059846947,3
8792,1.499112556248895,2
11808,-0.7299999724208887,0
11863,8.157637963679242,1
2765,5.108745715668457,0
10432,6.902046646886021,1
6757,1.4405449337409049,3
321,1.0914312649506472,2
5129,2.8450922478170075,1
8504,10.777501231095407,2
2663,5.64240791533188,1
1719,14.2258471063885,2
10617,-0.9304943930253635,2
2066,2.1432207917192043,0
908,6.792153230204086,3
8323,3.686598077599915,3
8214,1.9728956435004985,2
354,4.207316994157914,1
4133,1.7892691268803613,2
10210,4.124629271126581,2
9630,15.75323041578967,0
2722,4.074082369469313,1
8021,2.46578840747038,1
11714,2.3007038500698775,2
5903,14.200213267036363,1
